event_id,user_id,event_type,timestamp,country,age
e00073,u024,login,2024-03-13 16:00:00,Canada,29
e00074,u003,click,2024-02-27 06:00:00,Canada,41
e00076,u019,click,2024-04-08 15:00:00,Australia,39
e00077,u023,login,2024-08-08 03:00:00,USA,35
e00078,u023,purchase,2024-05-22 07:00:00,USA,35
e00080,u015,logout,2024-08-16 16:00:00,USA,29
e00081,u015,login,2024-05-01 14:00:00,USA,29
e00082,u021,click,2024-05-13 15:00:00,UK,26
e00083,u003,click,2024-03-26 10:00:00,Canada,41
e00085,u011,purchase,2024-01-16 06:00:00,Canada,33
e00086,u025,logout,2024-01-06 18:00:00,France,44
e00088,u020,click,2024-03-10 13:00:00,Canada,33
e00089,u022,logout,2024-07-04 05:00:00,Germany,48
e00091,u003,logout,2024-08-09 14:00:00,Canada,41
e00092,u011,click,2024-03-27 12:00:00,Canada,33
e00093,u014,click,2024-04-30 00:00:00,Canada,31
e00094,u012,click,2024-07-18 20:00:00,USA,28
e00096,u022,login,2024-02-25 14:00:00,Germany,48
e00097,u006,logout,2024-07-10 22:00:00,Germany,38
e00099,u013,view,2024-02-20 02:00:00,India,45
e00100,u008,login,2024-03-18 21:00:00,France,52
e00101,u019,login,2024-04-19 21:00:00,Australia,39
e00102,u011,login,2024-07-29 15:00:00,Canada,33
e00103,u021,purchase,2024-04-21 05:00:00,UK,26
e00104,u009,logout,2024-05-17 15:00:00,USA,30
e00105,u019,click,2024-03-03 02:00:00,Australia,39
e00106,u025,purchase,2024-06-20 12:00:00,France,44
e00107,u011,login,2024-03-31 08:00:00,Canada,33
e00108,u023,click,2024-05-12 06:00:00,USA,35
e00110,u001,login,2024-04-13 22:00:00,Canada,29
e00111,u012,purchase,2024-03-29 13:00:00,USA,28
e00112,u012,purchase,2024-03-05 07:00:00,USA,28
e00114,u009,logout,2024-05-14 19:00:00,USA,30
e00115,u007,click,2024-02-15 09:00:00,Canada,25
e00116,u002,purchase,2024-02-02 20:00:00,USA,34
e00117,u001,logout,2024-05-02 14:00:00,Canada,29
e00118,u009,purchase,2024-01-17 12:00:00,USA,30
e00119,u022,login,2024-07-26 18:00:00,Germany,48
e00120,u008,login,2024-04-16 19:00:00,France,52
e00121,u025,purchase,2024-08-20 14:00:00,France,44
e00122,u014,click,2024-01-16 19:00:00,Canada,31
e00123,u025,click,2024-03-08 21:00:00,France,44
e00124,u018,login,2024-04-14 14:00:00,USA,27
e00125,u002,click,2024-03-13 22:00:00,USA,34
e00126,u008,click,2024-06-09 18:00:00,France,52
e00127,u014,login,2024-06-14 04:00:00,Canada,31
e00128,u003,login,2024-03-19 19:00:00,Canada,41
e00130,u017,purchase,2024-01-21 19:00:00,Canada,42
e00131,u011,logout,2024-01-24 07:00:00,Canada,33
e00132,u019,logout,2024-07-14 21:00:00,Australia,39
e00133,u025,login,2024-06-15 14:00:00,France,44
e00134,u019,view,2024-05-05 02:00:00,Australia,39
e00135,u011,logout,2024-02-11 10:00:00,Canada,33
e00136,u022,view,2024-05-20 01:00:00,Germany,48
e00137,u011,login,2024-04-13 16:00:00,Canada,33
e00141,u008,login,2024-01-04 17:00:00,France,52
e00143,u017,click,2024-05-03 15:00:00,Canada,42
e00144,u013,click,2024-05-10 23:00:00,India,45
e00145,u009,view,2024-07-20 16:00:00,USA,30
e00147,u018,purchase,2024-05-21 17:00:00,USA,27
e00148,u007,click,2024-02-29 13:00:00,Canada,25
e00149,u023,view,2024-06-18 20:00:00,USA,35
e00150,u002,login,2024-05-31 10:00:00,USA,34
e00151,u015,login,2024-04-26 00:00:00,USA,29
e00152,u021,login,2024-07-19 08:00:00,UK,26
e00153,u021,login,2024-08-06 21:00:00,UK,26
e00154,u011,logout,2024-07-13 15:00:00,Canada,33
e00156,u014,login,2024-06-29 03:00:00,Canada,31
e00157,u001,login,2024-01-15 09:00:00,Canada,29
e00158,u008,purchase,2024-06-23 05:00:00,France,52
e00159,u013,logout,2024-05-07 18:00:00,India,45
e00160,u009,purchase,2024-01-03 14:00:00,USA,30
e00161,u006,login,2024-03-29 18:00:00,Germany,38
e00162,u023,click,2024-03-18 06:00:00,USA,35
e00164,u001,logout,2024-01-03 18:00:00,Canada,29
e00165,u002,logout,2024-08-01 09:00:00,USA,34
e00166,u012,click,2024-06-07 08:00:00,USA,28
e00167,u022,logout,2024-06-09 03:00:00,Germany,48
e00170,u012,purchase,2024-03-10 05:00:00,USA,28
e00172,u025,click,2024-07-04 21:00:00,France,44
e00173,u018,view,2024-04-11 00:00:00,USA,27
e00174,u012,logout,2024-03-08 18:00:00,USA,28
e00175,u012,login,2024-04-30 00:00:00,USA,28
e00176,u011,logout,2024-01-17 20:00:00,Canada,33
e00179,u022,purchase,2024-07-09 23:00:00,Germany,48
e00181,u015,purchase,2024-08-06 11:00:00,USA,29
e00182,u018,logout,2024-04-11 08:00:00,USA,27
e00183,u015,login,2024-06-13 20:00:00,USA,29
e00185,u018,click,2024-07-27 07:00:00,USA,27
e00186,u020,login,2024-02-07 04:00:00,Canada,33
e00189,u017,login,2024-05-01 14:00:00,Canada,42
e00191,u022,purchase,2024-06-13 00:00:00,Germany,48
e00192,u013,view,2024-05-05 22:00:00,India,45
e00193,u003,view,2024-01-17 04:00:00,Canada,41
e00194,u018,view,2024-06-01 16:00:00,USA,27
e00195,u014,login,2024-01-30 20:00:00,Canada,31
e00196,u024,click,2024-08-15 07:00:00,Canada,29
e00197,u013,view,2024-03-21 13:00:00,India,45
