event_id,user_id,event_type,timestamp
e00174,u012,logout,2024-03-08 18:00:00
e00175,u012,login,2024-04-30 00:00:00
e00176,u011,logout,2024-01-17 20:00:00
e00179,u022,purchase,2024-07-09 23:00:00
e00181,u015,purchase,2024-08-06 11:00:00
e00182,u018,logout,2024-04-11 08:00:00
e00183,u015,login,2024-06-13 20:00:00
e00185,u018,click,2024-07-27 07:00:00
e00186,u020,login,2024-02-07 04:00:00
e00189,u017,login,2024-05-01 14:00:00
e00191,u022,purchase,2024-06-13 00:00:00
e00192,u013,view,2024-05-05 22:00:00
e00193,u003,view,2024-01-17 04:00:00
e00194,u018,view,2024-06-01 16:00:00
e00195,u014,login,2024-01-30 20:00:00
e00196,u024,click,2024-08-15 07:00:00
e00197,u013,view,2024-03-21 13:00:00
